[0.00s -> 2.16s]  All right, guys.
[1403.04s -> 1403.36s]  Yeah.
[1403.40s -> 1409.76s]  I, whenever I, essentially I get top 10 on any segment here in Tucson, I feel
[1409.76s -> 1413.36s]  pretty good about myself because they all have like over thousands of people,
[1413.36s -> 1414.96s]  you know, learning the segment.
[1414.96s -> 1420.84s]  So it's a good, if you get top 10 here in Tucson, especially on a bike, man,
[1420.84s -> 1422.96s]  you are one fit dude or woman.
[1423.36s -> 1423.72s]  Right.
[1424.08s -> 1424.36s]  Yeah.
[1424.36s -> 1424.72s]  Yeah.
[1425.12s -> 1429.48s]  I mean, Flagstaff I think gets all of the glory for being like a training
[1429.48s -> 1434.52s]  Mecca, but I mean, it's just cause it's got elevation in my opinion, but like,
[1434.52s -> 1438.08s]  yeah, Tucson, I think, you know, it's, it's a, it's a hidden gem.
[1438.12s -> 1439.40s]  I think a lot of people sleep on it.
[1439.40s -> 1441.68s]  I don't go down there nearly as often as I would love to.
[1441.68s -> 1445.60s]  So we got to get a trip down there together and out there.
[1446.20s -> 1446.48s]  Yeah.
[1446.48s -> 1452.56s]  It's there's I'm already thinking of five trails I could take you on
[1452.56s -> 1453.72s]  that you would absolutely love.
[1454.00s -> 1458.64s]  And yeah, it's, I think it's under the radar, but I think we got a couple
[1459.56s -> 1462.88s]  up and covers that are going to, you know, put us back on the map essentially.
[1463.88s -> 1470.20s]  But to answer your question back, like, do I feel like I'm carrying the torch?
[1470.28s -> 1473.28s]  Not yet, but maybe one day, but I also want to like, you know, create my
[1473.28s -> 1474.48s]  own story with that.
[1474.84s -> 1476.36s]  I want to be a little bit different.
[1476.48s -> 1477.00s]  That's cool.
[1477.04s -> 1481.36s]  I like that you are embracing that side of the sport, like not just
[1481.40s -> 1485.16s]  performance, but also, you know, telling a unique story or representing,
[1485.20s -> 1486.36s]  you know, your character.
[1486.48s -> 1489.72s]  Um, and, uh, yeah, I mean, tell me about that.
[1489.76s -> 1493.72s]  Like, so how, how do you see that playing out or what are some of the things that,
[1493.72s -> 1499.04s]  uh, that you're doing, um, to start creating that character and letting
[1499.04s -> 1500.00s]  people know who Johnny is?
[1500.04s -> 1508.08s]  I think regardless of what I do, being authentically me will shine, you know,
[1508.08s -> 1509.64s]  I think, and I think people will see that.
[1510.32s -> 1515.32s]  And I think I have a story that a lot of people could relate to, but not too many.
[1515.92s -> 1519.84s]  Yeah, I just got to continue to be me and continue to show out.
[1519.88s -> 1521.16s]  And I think people will see that.
[1521.64s -> 1521.80s]  Yeah.
[1521.80s -> 1522.56s]  I think it will play out.
[1522.56s -> 1529.36s]  Like, I don't have like a big plan of what I want this mic feature and ultra
[1529.36s -> 1534.00s]  running to look like, but I'm just going to continue to do me and like, continue
[1534.00s -> 1535.52s]  to like, try to make myself happy.
[1535.52s -> 1538.28s]  And I've been doing that for the past 16 months and it's been
[1538.32s -> 1539.40s]  working really well for me.
[1539.88s -> 1540.44s]  Awesome, man.
[1540.68s -> 1547.76s]  So tell me about like, again, I met you in black Canyon day, uh, which was like,
[1547.84s -> 1552.92s]  you know, February timeframe prior to that, what, what had been your experience
[1552.96s -> 1558.28s]  with ultras where, where did you first like even, you know, decide to transition
[1558.28s -> 1562.20s]  from big days on the bike to big days out on the trail?
[1562.96s -> 1563.40s]  Yeah.
[1564.36s -> 1564.72s]  Yeah.
[1565.12s -> 1572.40s]  Um, at the time I was going through a pretty tough breakup and I just needed
[1572.40s -> 1573.32s]  a new stimulus.
[1573.32s -> 1578.68s]  I was just so over the bike, you know, couple of my buddies, like inviting me
[1578.68s -> 1580.48s]  to this like run club here in Tucson.
[1581.40s -> 1585.52s]  Everybody knew that I was like an endurance for guy and they're like, Oh, go
[1585.52s -> 1587.60s]  talk to this kid named Ben Garcia.
[1587.64s -> 1590.52s]  He's like running this like 50 mile air in Presque, Arizona.
[1590.52s -> 1593.12s]  So I link up with him super cool guy, like great guy.
[1593.12s -> 1593.92s]  I think you follow him.
[1594.16s -> 1594.40s]  Yeah.
[1594.40s -> 1594.64s]  Yeah.
[1595.32s -> 1601.84s]  And I go on the website for ultra signup and prior to that, I didn't know
[1601.84s -> 1607.40s]  like ultra running existed and I look at the website and I saw like, there's
[1607.40s -> 1612.84s]  a 50 mile air option and there's a hundred mile air option and just where
[1612.84s -> 1618.00s]  I was at in life, I wanted to do the a hundred, like my, my soul craved a
[1618.00s -> 1619.48s]  hundred miles at the time.
[1619.76s -> 1620.96s]  I'd like needed to be out there.
[1620.96s -> 1623.28s]  I needed all these answers to be answered.
[1623.48s -> 1628.76s]  And the only way in my mind, I could like find those answers was by doing a
[1628.76s -> 1630.96s]  hundred miles and I signed up that day.
[1632.08s -> 1636.60s]  I had like three months to train and I was like, man, like, I guess I
[1636.60s -> 1642.64s]  gotta start running and yeah, fortunately I had some friends that were
[1642.64s -> 1646.36s]  already trail runner, so I'll just hop in with them and try to pick their
[1647.12s -> 1649.52s]  brain, watch all these YouTube videos.
[1650.52s -> 1652.00s]  I was so underprepared, Brian.
[1652.56s -> 1653.52s]  You had no idea.
[1653.80s -> 1654.28s]  I remember.
[1654.28s -> 1654.44s]  Yeah.
[1655.08s -> 1655.60s]  Yeah.
[1656.32s -> 1662.04s]  But I knew like, not only was I willing to run a hundred miles, like I knew I
[1662.04s -> 1667.20s]  could run a hundred miles, so I kind of went into it, like I didn't, I wasn't
[1667.20s -> 1674.76s]  too nervous, honestly, I still don't think I had the exact distance in my
[1674.76s -> 1679.44s]  mind, like worked out on how long it actually a hundred miles is, but I
[1679.44s -> 1681.12s]  knew I could do it and I was right.
[1682.32s -> 1682.68s]  So yeah.
[1683.04s -> 1683.24s]  Yeah.
[1683.24s -> 1683.84s]  You got it done.
[1683.88s -> 1684.04s]  Yeah.
[1684.04s -> 1684.48s]  You finished.
[1684.48s -> 1684.60s]  Yeah.
[1686.44s -> 1688.20s]  What were some of those early videos?
[1688.24s -> 1693.24s]  Like what were the things that were guiding you in those early days of
[1693.24s -> 1695.76s]  like getting exposed to the sport?
[1696.52s -> 1696.92s]  Yeah.
[1697.92s -> 1703.08s]  Probably just your typical YouTube documentary about ultra running.
[1703.16s -> 1703.52s]  Okay.
[1704.44s -> 1710.52s]  Like I also remember watching the, the Barkley marathon, right?
[1710.52s -> 1711.16s]  I think it's called.
[1711.28s -> 1711.52s]  Yep.
[1711.56s -> 1711.96s]  Yeah.
[1712.04s -> 1713.20s]  So that was cool.
[1713.20s -> 1718.04s]  And then I can't really name them off my head right now, but yeah, just your
[1718.04s -> 1721.32s]  typical like ultra running, like documentaries.
[1721.32s -> 1725.56s]  And I'm just like watching these guys, like, you know, a lot of these, like
[1725.56s -> 1727.80s]  we had like the best crew, so they're like on and off.
[1727.80s -> 1729.00s]  I was like, Oh, I gotta be doing that.
[1729.00s -> 1732.76s]  Like, but that is not how my a hundred mile or whatever.
[1732.76s -> 1734.68s]  I was like sitting at the aid station.
[1734.68s -> 1736.24s]  It's just like trying not to die.
[1736.24s -> 1739.12s]  I was just like, Oh God, like, right.
[1739.12s -> 1741.60s]  Spending like 30, 40 minutes at every aid station.
[1741.60s -> 1747.92s]  Like, Oh man, it was, it was a crap show, but I'm super grateful for my friends.
[1747.92s -> 1754.36s]  Uh, Jules, Caitlin, my brother, Charlie and my sister, Angie, and then her
[1754.36s -> 1756.92s]  fiance, like coming out like Chris.
[1757.80s -> 1760.84s]  They, they, if they weren't there, I would probably would have
[1761.12s -> 1762.60s]  shattered into a million pieces.
[1763.20s -> 1763.52s]  Yup.
[1764.00s -> 1764.36s]  Yeah.
[1764.56s -> 1768.08s]  So I say that all the time, man, the crew, you know, the pacers, you know,
[1768.08s -> 1772.64s]  they, they definitely help, you know, I mean, you can get it done by yourself,
[1772.64s -> 1776.12s]  you know, but there's no better experience than crossing the finish
[1776.12s -> 1781.16s]  line with your family, your close friends and knowing that you guys did that together.
[1781.20s -> 1786.12s]  So yeah, super, super important, I think for your first one and anytime, I think
[1786.12s -> 1788.84s]  that you can have people out there and it's not a burden on them, you know,
[1788.84s -> 1791.92s]  they're able to do it without, you know, crushing their schedule or whatever.
[1792.36s -> 1795.88s]  Um, always welcome it, you know, just to share the experience.
[1795.88s -> 1799.32s]  It's not, it's not saying you can't do it by yourself, but like, my God, if you
[1799.32s -> 1803.24s]  can't, if you, if you have the option to share it with somebody, always take that option.
[1803.84s -> 1804.16s]  Yeah.
[1804.72s -> 1809.00s]  And I also still feel that way in a lot of ways, like being a burden.
[1809.08s -> 1809.96s]  I don't want to be a burden.
[1810.04s -> 1810.28s]  I don't.
[1810.28s -> 1810.44s]  Right.
[1810.68s -> 1810.80s]  Yeah.
[1810.80s -> 1811.48s]  It's a big ask.
[1812.08s -> 1812.96s]  It's a big ask.
[1812.96s -> 1817.64s]  And I just feel so selfish, like asking people like to like, Hey, can you help me
[1817.68s -> 1822.20s]  like do this, like just for my own, like, I don't even know, like gain, I guess.
[1822.20s -> 1827.92s]  Like I, man, it's, I still struggle with that today.
[1828.20s -> 1832.96s]  It's just, I don't want to like ask people to like, you know, do stuff for me.
[1833.72s -> 1836.48s]  But I also wanted to share the experience that I'm like caught like
[1836.48s -> 1838.88s]  in a weird purgatory state.
[1839.16s -> 1839.48s]  Yep.
[1839.92s -> 1840.12s]  Yeah.
[1840.12s -> 1840.52s]  It's hard.
[1840.60s -> 1844.88s]  You know, these endurance as endurance runners, like it is somewhat of a very
[1844.88s -> 1849.40s]  selfish pursuit, you know, the more, like if you're, you get a spouse, you have
[1849.40s -> 1852.28s]  kids, you know, those are the things I always grapple with because it's like,
[1852.72s -> 1856.48s]  you know, I'm waking up super early, prioritizing my run before I do
[1856.48s -> 1857.72s]  anything for anyone else.
[1858.12s -> 1861.56s]  You know, on the flip side though, is that like, once I do that for me, like
[1861.72s -> 1865.48s]  then I'm trying to show up and be as present and my best, you know?
[1865.48s -> 1867.00s]  And so it's kind of this like chicken or the egg.
[1867.00s -> 1870.48s]  It's like, if I don't do this for myself, like I'm kind of not my
[1870.48s -> 1872.04s]  best version of me for others.
[1872.08s -> 1875.92s]  And so it flips it on its head where it's like actually not selfish, you know, and
[1875.92s -> 1880.28s]  it is the thing that you've got to, you know, make sure you take care of so that
[1880.56s -> 1882.24s]  you can be the best version of yourself.
[1882.24s -> 1885.64s]  So, and other people are usually excited to want to be there and support you.
[1885.64s -> 1887.68s]  So, you know, don't feel like you're being a burden.
[1887.72s -> 1891.56s]  Most of the time people are, you know, jumping at the opportunity to, to come
[1891.56s -> 1892.84s]  out and experience these things.
[1893.76s -> 1894.68s]  Yeah, I agree.
[1894.68s -> 1895.44s]  100%.
[1895.68s -> 1903.48s]  The person I am before and after a runner, like not, not extremely different,
[1903.48s -> 1904.12s]  but they're different.
[1904.72s -> 1905.28s]  Oh man.
[1906.04s -> 1906.40s]  Yeah.
[1906.92s -> 1907.08s]  Yeah.
[1907.08s -> 1907.84s]  1000%.
[1908.20s -> 1908.52s]  Yep.
[1909.32s -> 1909.52s]  All right.
[1909.52s -> 1913.60s]  So you knocked out, you knocked out saddles 100 in your first attempt.
[1913.68s -> 1918.88s]  Um, albeit on, you know, limited actual running training.
[1918.88s -> 1922.48s]  So you were just getting by on being young and fit, you know, having the
[1922.48s -> 1925.08s]  endurance off the bike and things like that.
[1925.08s -> 1930.56s]  And, and, and the experience again, probably didn't go as smooth as you had
[1930.56s -> 1934.64s]  hoped, um, but you, you've crossed the finish line and you're still on fire
[1934.64s -> 1937.84s]  for the sport more so than ever, or are you second guessing what in the hell
[1937.84s -> 1939.56s]  you just started getting yourself into?
[1940.20s -> 1948.28s]  No, I, that, that raises an eyebrow where I was just like, huh, most people,
[1948.28s -> 1950.92s]  you know, start off doing a marathon.
[1950.92s -> 1952.04s]  I've never ran a marathon.
[1952.04s -> 1954.96s]  I've ran the distance, but I've never done an actual race of a marathon.
[1955.20s -> 1955.76s]  Yeah, me either.
[1956.48s -> 1963.80s]  So, yeah, just like my first ultra being a hundred miler, I think is pretty rare.
[1963.96s -> 1964.48s]  I think.
[1964.72s -> 1964.96s]  Yeah.
[1965.84s -> 1970.00s]  But yeah, I was just like, man, like now knowing that I could, like that, that
[1970.00s -> 1975.04s]  that's my wall, like a hundred miles is like my new set on like, that's the
[1975.04s -> 1978.00s]  hardest thing I've done by running is like a hundred miles.
[1978.32s -> 1979.68s]  It's like, how far can I take this?
[1979.80s -> 1981.04s]  It's like, how far can I take this?
[1981.04s -> 1982.96s]  Like how, how quickly can I do this?
[1982.96s -> 1986.16s]  Like how fast can I run a 50 cow or fast?
[1986.16s -> 1987.40s]  Can I run a 50 miler?
[1987.44s -> 1992.20s]  Like all these like questions started arising and I was just like, you know,
[1992.20s -> 1995.60s]  this is sports pretty fun, you know, I have a lot of times you'd be like in my
[1995.60s -> 1996.88s]  thoughts, which I'd love to do.
[1998.00s -> 2000.44s]  And I was just like, let's see how far I could take it.
[2000.96s -> 2001.28s]  Yeah.
[2002.16s -> 2002.72s]  That's awesome.
[2003.24s -> 2003.52s]  Yeah.
[2003.56s -> 2004.68s]  Saddles is pretty unique.
[2004.68s -> 2009.12s]  I mean, you can tell by your aesthetic that like, you know, you, you have this
[2009.12s -> 2013.88s]  kind of like counterculture or, you know, kind of punk edge or, you know what I
[2013.88s -> 2014.08s]  mean?
[2014.08s -> 2015.04s]  Like you're a tatted guy.
[2015.04s -> 2016.24s]  You got the sick mustache.
[2016.24s -> 2019.84s]  Like, so your first experience is heading up to Prescott, Michael
[2019.84s -> 2023.28s]  Versteegs, the RD looks like it's nothing but your brethren, right?
[2023.28s -> 2024.28s]  Like what is it?
[2024.40s -> 2025.60s]  Is it like a homecoming?
[2025.60s -> 2028.72s]  Do you feel like you have met up with all these long lost brothers when you see
[2028.72s -> 2029.80s]  all these other dudes out there?
[2030.56s -> 2035.92s]  Uh, I will say in even this year, every time I show up to that race, like the
[2035.92s -> 2039.20s]  day prior, everybody's like, looks super cool.
[2039.20s -> 2044.16s]  Like everybody's like even cooler, like thicker mustache, more tattoos than I, I
[2044.16s -> 2049.76s]  have like, everybody just looks, I look, I, in a way, I think I look at a place.
[2049.80s -> 2052.52s]  I'm just like, man, I don't have enough holes in my shirt.
[2053.04s -> 2054.60s]  I don't have enough tattoos.
[2054.60s -> 2057.28s]  Not, I need a thicker mustache.
[2057.72s -> 2058.56s]  I need a cooler hat.
[2059.68s -> 2064.48s]  So everybody there was like, in a weird way, intimidating in that sense, whether
[2064.48s -> 2067.36s]  it just looks so cool and I'm just like, man, like I do not belong here.
[2067.76s -> 2068.12s]  Right.
[2068.16s -> 2072.40s]  But, um, once I started talking to the people, actually, you know, they're the
[2072.40s -> 2076.92s]  most down to earth people and I was just, okay, it's just, they just look super
[2076.92s -> 2079.96s]  cool, you know, but they're human beings.
[2080.52s -> 2080.88s]  Right.
[2081.32s -> 2081.64s]  Yeah.
[2082.36s -> 2085.40s]  And that's what, that's, that's an important piece cause it's easy from, from
[2085.40s -> 2091.56s]  afar, you know, to judge that like, these are just dudes like larping, like they're
[2091.56s -> 2093.04s]  just putting on a costume, right?
[2093.04s -> 2094.72s]  But like they're real dudes, man.
[2094.72s -> 2097.56s]  I think that's just like, that's, that's how they are in the world.
[2097.56s -> 2098.08s]  You know what I mean?
[2098.08s -> 2102.08s]  And it's just so happens that like saddles puts on an event that's got a sponsor,
[2102.08s -> 2107.00s]  like, like a satisfy and, you know, it attracts people, you know, that,
[2107.12s -> 2108.00s]  that want to be part of it.
[2108.00s -> 2111.88s]  So it's cool that you point that out that like, when you talk to these guys, even
[2111.88s -> 2116.12s]  before the race and after, like it's real, like they're not, they're not these fake
[2116.12s -> 2119.20s]  dudes that are pretending to be hipsters or cool guys.
[2119.56s -> 2119.84s]  Yeah.
[2120.24s -> 2120.52s]  Yeah.
[2120.56s -> 2126.28s]  Everybody I've talked to from last year to this year has been, we all like
[2126.28s -> 2131.04s]  exchange social medias and they'll like still reach out whenever I do like a cool
[2131.04s -> 2132.72s]  run, they'll be like, man, that's so epic.
[2132.72s -> 2138.60s]  So it's like these guys that are like watching me from afar and like they barely
[2138.60s -> 2142.24s]  know me, but they're still like super supportive, like especially like after
[2142.56s -> 2144.40s]  last year, I like met all these people.
[2145.32s -> 2149.60s]  And then winning it this year, I got so many messages like on Instagram
[2149.60s -> 2151.80s]  from people I met the year prior.
[2151.80s -> 2153.52s]  And they're just like, man, like that's crazy.
[2153.52s -> 2154.16s]  Like congrats.
[2154.16s -> 2155.40s]  I'm like, thanks.
[2155.44s -> 2156.88s]  Like I have no idea how I did that.
[2156.88s -> 2161.24s]  So it's cool to see like just people like keeping up with me like throughout the
[2161.24s -> 2162.84s]  year and then seeing that happen.
[2162.88s -> 2163.76s]  So, right.
[2164.24s -> 2164.48s]  Yeah.
[2164.52s -> 2165.04s]  Awesome, dude.
[2165.36s -> 2165.60s]  All right.
[2165.60s -> 2171.00s]  So we meet up at a Black Canyon, basically, you know, for the listeners, I
[2171.00s -> 2176.68s]  had followed Johnny after he had went out and ran saddles and we had been messaging
[2176.72s -> 2179.68s]  each other, just kind of like supporting each other's, you know, runs and things
[2179.68s -> 2181.32s]  like that, he had been asking some questions.
[2181.32s -> 2183.56s]  I think he had started tuning into the podcast and stuff.
[2183.56s -> 2188.44s]  And then, yeah, I think I invited him to come out and crew if he wanted to.
[2188.44s -> 2191.16s]  And he jumped on it like, like instant.
[2191.20s -> 2196.20s]  And so, yeah, he got to come out and crew with me along the way with Elliot.
[2196.52s -> 2199.96s]  What was that experience like, you know, looking at it for the first time, you
[2199.96s -> 2203.64s]  know, at the front end of the elite sport with the golden ticket race, what was it
[2203.64s -> 2203.84s]  like?
[2204.80s -> 2208.68s]  Yeah, I did not know that Black Canyon was that big.
[2208.72s -> 2210.08s]  I had zero idea.
[2210.08s -> 2211.68s]  I did zero research.
[2211.68s -> 2216.80s]  I thought it was just like a regular race and showing up to the start line that
[2216.80s -> 2221.36s]  early morning, super cold, seeing all these runners.
[2221.36s -> 2224.80s]  I'm like, man, and just like the way that they look, you know, I'm just like, oh,
[2224.80s -> 2227.80s]  these guys are like elite, elite, elite.
[2228.52s -> 2235.28s]  And then finding you, like having conversation, looking to Elliot and just
[2235.28s -> 2240.04s]  like visually, like Elliot is like the most like perfect specimen, right?
[2240.04s -> 2243.64s]  Like he just like, he looks like he could like tackle on any sport.
[2244.80s -> 2248.56s]  I'm just like, like, man, this guy's a little bit big for like, you know,
[2248.56s -> 2249.20s]  ultra running.
[2250.04s -> 2254.56s]  It looks like a, just like a, yeah, he's just very ambidextrous in that sense of
[2254.56s -> 2256.96s]  like, you could, you could see him doing any sport, right?
[2257.80s -> 2261.60s]  And, but yeah, I was looking at him like, man, he weighs a little bit more and
[2261.60s -> 2263.00s]  seeing them line up like in the front.
[2263.00s -> 2267.24s]  I'm just like, I was like, let's, let's see, let's see how this goes.
[2268.36s -> 2274.84s]  But man, Elliot is a monster coming into the eight stations and just, I was like
[2274.84s -> 2276.52s]  asking you, I was like, well, should we do this?
[2276.52s -> 2277.40s]  Like, I was so nervous.
[2277.40s -> 2279.24s]  Like I did not want to mess up anything.
[2279.32s -> 2284.80s]  You know, like I knew that that race by just being there is, was very important.
[2285.12s -> 2289.20s]  And, and I knew that Elliot was elite after the first like eight station, you
[2289.20s -> 2291.32s]  know, like I was like, well, this guy's ripping it.
[2291.76s -> 2294.08s]  So yeah, I was super nervous, honestly.
[2294.08s -> 2299.80s]  And it was super cool to see how like, how quickly like in and out Elliot was
[2299.80s -> 2301.12s]  like coming into the eight stations.
[2301.12s -> 2302.12s]  He was like, bam, bam, bam.
[2302.12s -> 2306.32s]  Like we just put on like a, you know, I spent in on him, why not give him the
[2306.32s -> 2307.20s]  bottles real quick.
[2307.64s -> 2309.56s]  He was running with just like a little belt, you know?
[2309.56s -> 2313.96s]  So like, it was insane to see, like I've never seen that high level of performance
[2313.96s -> 2319.04s]  of in and out of just like NASCAR-esque like, so that was super cool.
[2319.32s -> 2319.72s]  Yeah.
[2320.88s -> 2321.20s]  Yeah, dude.
[2321.20s -> 2322.16s]  I'm a big fan of Elliot.
[2322.16s -> 2325.80s]  He's such a, I mean, as good of a runner as he is, he's like three times better
[2325.80s -> 2326.60s]  of a human being.
[2326.68s -> 2327.48s]  Like for sure.
[2327.76s -> 2331.20s]  And, and, and I was just like you and I still am like, I don't want to fuck
[2331.20s -> 2335.04s]  shit up, like, you know, I don't want to be, you know, a reason why he has like a
[2335.08s -> 2336.56s]  rough patch or something like that.
[2336.56s -> 2339.88s]  And, but he's like such like, I call him the peaceful warrior after I met him
[2339.88s -> 2343.52s]  because like he'll, you know, he'll cut your head off, you know, he's competing.
[2343.56s -> 2344.52s]  He's a dog, right?
[2344.52s -> 2348.48s]  But like, he has this like peacefulness about him that like, I think is like such
[2348.48s -> 2352.60s]  a great balance of like the intensity and the adrenaline, but then he's so calm.
[2352.72s -> 2356.80s]  And so like just his presence, you know, helped me slow down at the aid stations,
[2356.84s -> 2360.40s]  you know, but still be fast, you know, and, and know that like he had it under
[2360.40s -> 2361.44s]  control, you know what I mean?
[2361.44s -> 2365.52s]  Like, and I just think it's so incredibly generous for somebody that's at the
[2365.52s -> 2370.04s]  elite tip end of the sport, chasing golden tickets to like invite somebody like me
[2370.04s -> 2373.08s]  to, to crew them, you know, and the family loves hosting them.
[2373.08s -> 2377.52s]  And I was so grateful to share it with you, kind of take you under my wing and
[2377.52s -> 2380.56s]  show you kind of the ropes at black Canyon of like how that race works and
[2380.60s -> 2382.56s]  the cruise experience of it.
[2383.00s -> 2386.64s]  And I mean, yeah, you picked it up super quick, you know, you were, you were in
[2386.64s -> 2390.04s]  there, you know, getting all the trash and getting all the bottles filled and laying
[2390.04s -> 2393.68s]  it out, like you weren't just there to watch, like you were there to partake and
[2393.68s -> 2398.60s]  experience it, you know, so how much of that lit like a new level of like
[2398.60s -> 2401.12s]  commitment and motivation for you?
[2401.16s -> 2404.84s]  Cause I feel like it's osmosis, like you go do that and like you get your hands
[2404.84s -> 2406.04s]  dirty with one of those elites.
[2406.04s -> 2409.68s]  It's like for the next three months, like I'm just living on a high from that
[2409.68s -> 2410.32s]  experience.
[2411.16s -> 2411.48s]  Yeah.
[2411.72s -> 2416.68s]  So to like backtrack to see like what you're saying, like I remember Elliot would
[2416.68s -> 2421.16s]  like come into the aid stations and he would literally ask us like, how are you
[2421.16s -> 2421.76s]  guys doing?
[2422.04s -> 2424.52s]  And like, I was just like, dude, I have zero miles on my legs.
[2424.52s -> 2425.44s]  Like I feel great.
[2425.44s -> 2429.68s]  And he was just like, how you, you know, like, French Canadian accent, like
[2429.88s -> 2432.04s]  I was like, man, this guy's like a sweetheart.
[2432.04s -> 2435.20s]  And then we got to like share like a good conversation, you know, driving back to
[2435.68s -> 2438.44s]  your car and yeah, Elliot's a great guy.
[2438.44s -> 2441.08s]  So Elliot, if you're watching this, I love you brother.
[2441.60s -> 2446.60s]  But yeah, it was super cool that you got to share that experience with me.
[2446.60s -> 2449.56s]  Like I was buzzing for a couple of days for sure.
[2449.56s -> 2455.76s]  Like I was, I was just like, man, I think I even told Elliot before we parted ways.
[2455.76s -> 2459.36s]  Like when we were going to your vehicle, I was like, I was like, I'm gonna go
[2459.60s -> 2462.44s]  I was like, Elliot, I was like, maybe give me a couple of years and maybe I'll be
[2462.44s -> 2463.44s]  towing the line with you.
[2463.44s -> 2468.00s]  So I was already trying to like bring into fruition, just like seeing, seeing
[2468.00s -> 2471.72s]  that and like his numbers are phenomenal.
[2471.72s -> 2473.92s]  Like what he did, the hundred K in it.
[2473.92s -> 2478.20s]  I was just like, that's, that's ridiculously fast.
[2478.20s -> 2487.16s]  So, but just being like, maybe dumb and naive, like I think I could, uh, I'll be
[2487.16s -> 2488.80s]  hitting those numbers one day for sure.
[2489.36s -> 2489.76s]  That's awesome.
[2489.76s -> 2494.40s]  And even back then, even back then in February, I was, I was like telling myself,
[2494.40s -> 2495.32s]  I was like, I could do that.
[2496.64s -> 2497.20s]  I could do that.
[2498.12s -> 2498.76s]  That's cool, man.
[2498.80s -> 2503.72s]  Gives me chills to hear somebody, you know, see something like that and not be
[2504.16s -> 2509.00s]  discouraged that the bar was just set or something that they witnessed was set so
[2509.00s -> 2510.44s]  far that it's not attainable.
[2510.44s -> 2514.04s]  Like you saw it and you were like, okay, I can get there.
[2514.04s -> 2517.92s]  I think if I, you know, commit myself and apply myself.
[2517.92s -> 2519.24s]  So I think that's awesome.
[2519.24s -> 2520.68s]  You know, and that, that trickles down, right?
[2520.68s -> 2524.96s]  Like not everybody it's like, you got to be setting goals where you're chasing
[2524.96s -> 2528.68s]  golden tickets and in the top end of the sport, but like, yeah, don't be afraid.
[2528.68s -> 2532.88s]  Like if you're a 30 hour finisher and a hunter mile or like set the sub 24 hour
[2532.88s -> 2533.92s]  goal, you know what I mean?
[2533.92s -> 2537.00s]  Like Johnny went and watched one of the best out there to do it right now.
[2537.16s -> 2539.40s]  And he said, okay, I can do that in a couple of years.
[2539.40s -> 2542.36s]  So we shouldn't be scared to set big, scary goals either.
[2542.36s -> 2542.60s]  Right.
[2543.16s -> 2543.44s]  Yeah.
[2543.80s -> 2544.80s]  And I've never been.
[2545.80s -> 2551.48s]  Um, my whole life, I've in every like aspect of life, there's like people that
[2551.48s -> 2554.40s]  I'll look up to and I always tell myself like, why not me?
[2554.64s -> 2555.44s]  Like, why not me?
[2555.72s -> 2558.40s]  So I think that's maybe on my end.
[2558.88s -> 2560.44s]  So, yeah, no, I think that's great.
[2560.48s -> 2565.68s]  I mean, well, I think being naive is somewhat of a virtue and, you know, I
[2565.68s -> 2570.84s]  think the positives that it brings is like the fact that you don't limit what
[2570.96s -> 2576.00s]  you're capable of or, you know, feel inferior to do anything, you know what I mean?
[2576.00s -> 2580.04s]  Like, I think the minute the, the only thing that you have to guard against with
[2580.04s -> 2583.44s]  being naive is that like, maybe you don't have all the answers or know the most
[2583.44s -> 2584.84s]  efficient way to do things.
[2584.92s -> 2586.72s]  Um, but yeah, if you can keep some of that.
[2587.64s -> 2591.76s]  Naive, uh, naivety or whatever, however you pronounce that, like, I think it's a
[2591.76s -> 2596.36s]  good thing, you know, cause you went out and tackled saddles your first year just
[2596.36s -> 2601.28s]  because you were like a little bit naive and then, you know, look at the trajectory
[2601.28s -> 2602.88s]  that you've launched yourself onto now.
[2602.88s -> 2604.16s]  So, all right.
[2604.16s -> 2605.60s]  So we talked about black Canyon.
[2606.20s -> 2609.80s]  I mean, then you, you just kept rolling, like kept training, kept running.
[2610.32s -> 2614.52s]  I think you did like a 50 K, you know, in the summer, what, what was, what was
[2614.52s -> 2617.60s]  the leading up to, cause we're building up to, you know, what you just recently
[2617.60s -> 2621.36s]  went and did, so what was the summer months like with, with training and when
[2621.36s -> 2625.08s]  did you know that you wanted to go back to, uh, to saddles to maybe improve on
[2625.16s -> 2626.12s]  that first experience?
[2626.96s -> 2627.44s]  Yeah.
[2629.08s -> 2632.56s]  I think I knew I wanted to come back when I crossed the line last year.
[2633.04s -> 2633.40s]  Yeah.
[2633.64s -> 2636.16s]  I was just like, man, such a cool environment.
[2636.76s -> 2643.60s]  Like everybody there's down to earth and just, I, I, I love Prescott, Arizona.
[2643.60s -> 2645.92s]  I grew up an hour away from Prescott.
[2645.92s -> 2651.96s]  So I, as a, as a kid, I would go up there a lot and hit up the Peter Piper there
[2652.00s -> 2653.24s]  a lot, you know, on birthdays.
[2653.24s -> 2656.68s]  So a lot of, uh, fun memories up there.
[2657.04s -> 2657.36s]  Right.
[2658.72s -> 2664.00s]  But yeah, I knew I wanted to come back as soon as I finished and yet that whole
[2664.00s -> 2669.80s]  year leading up to it, I was just trying to like join every race, run every race
[2669.80s -> 2676.36s]  that made sense to like my fitness and my schedule and I've done some pretty
